link_key,observed,true_count,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20
"(557, 539, '0')",0,,1632.0,1675.2,1734.7,1788.9,1843.0,1859.0,1973.9,1901.1,2077.9,1973.2,1996.3,1973.9,2146.2,2111.8,2079.8,2038.9,2170.0,2671.1,2275.2,2185.5
"(6, 17, '0')",0,,1222.4,1184.6,1197.2,1228.4,1254.3,1205.0,1221.4,1133.2,1255.0,1193.6,1248.0,1540.8,1816.8,1748.5,1734.8,1905.3,2135.3,1505.5,1244.6,1157.1
"(213, 17, '0')",0,,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9,1508.9
"(830, 17, '0')",0,,1400.4,1486.8,1533.1,1610.2,1706.6,1835.9,1978.0,2091.4,2177.2,2292.4,1975.4,2758.6,2927.3,3197.7,3357.9,3559.8,3337.2,4101.3,3765.3,3715.8
"(865, 17, '0')",0,,1858.0,1901.8,1968.4,2015.1,2080.8,2171.2,2240.5,2214.9,2267.9,2320.6,2243.5,2411.9,2766.5,2715.0,2782.7,2986.8,3040.6,2895.0,3020.4,3122.0
"(493, 250, '0')",1,2444.0,2862.4,2826.6,2859.4,2882.9,2820.7,2779.6,2609.1,2920.9,2683.9,2917.9,2634.8,3108.2,3035.4,3074.5,3200.1,3280.0,3211.9,1864.0,2259.7,2420.1
"(253, 250, '0')",1,2466.4,3482.9,3512.5,3475.7,3455.8,3487.8,3542.2,3676.8,3462.8,3739.7,3505.2,3650.0,3352.5,3449.3,3371.9,3262.0,3194.7,3265.7,4448.9,4052.2,3894.8
"(7, 559, '0')",0,,1426.0,1432.4,1440.5,1432.6,1457.9,1553.9,1639.9,1751.6,1814.0,1940.3,1650.5,2835.1,3016.1,3072.9,3093.5,3330.3,3474.2,2298.1,2434.9,2603.6
"(8, 640, '0')",1,1096.0,4191.7,4186.9,4239.5,4227.5,4217.6,4221.7,4179.0,4169.5,4147.6,4106.5,4178.4,4159.5,3916.3,3780.5,3740.9,3363.9,3156.7,4361.9,4389.0,4363.0
"(105, 82, '0')",0,,284.4,327.7,382.6,503.2,641.8,729.8,785.8,759.0,723.3,713.5,760.0,667.0,651.6,799.7,790.5,625.9,567.5,750.4,819.2,863.6
