key,tt_sd,speed_ref_avg,speed_avg,speed_sd,tt_var,tt_cv,incidents,bus_stops,median_inc,median_age,intersections,tt_avg,speed_ref_sd,tt_sd_adj,speed_hist_sd,speed_hist_avg,road_closures,speed_cv,tf
"(755, 775, '0')",0.471,16.777,16.084,4.378,0.222,0.399,0,4,39.191,28.700,2,1.182,0.000,0,4.398,15.468,0.000,0.272,0.827
"(1553, 1728, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,24.619,31.600,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(777, 784, '0')",0.015,24.233,25.282,3.062,0.000,0.131,0,0,39.191,28.700,0,0.117,0.000,0,2.117,23.875,0.000,0.121,0.268
"(785, 784, '0')",0.015,24.233,25.282,3.062,0.000,0.131,0,0,39.191,28.700,0,0.117,0.000,0,2.117,23.875,0.000,0.121,0.280
"(786, 784, '0')",0.004,21.748,19.813,2.727,0.000,0.195,0,0,39.191,28.700,0,0.023,0.000,0,2.049,20.249,0.000,0.138,0.076
"(775, 784, '0')",0.471,16.777,16.084,4.378,0.222,0.399,0,4,39.191,28.700,2,1.182,0.000,0,4.398,15.468,0.000,0.272,0.616
"(777, 787, '0')",0.040,24.855,26.104,3.410,0.002,0.151,0,0,39.191,28.700,1,0.265,0.000,0,4.081,23.255,0.000,0.131,0.326
"(770, 787, '0')",0.114,24.233,25.282,3.062,0.013,0.129,0,0,39.191,28.700,3,0.880,0.000,0,2.117,23.875,0.000,0.121,0.218
"(785, 1330, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,39.191,28.700,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(786, 1323, '0')",0.040,6.835,6.744,0.770,0.002,0.135,0,0,39.191,28.700,0,0.294,0.000,0,1.109,6.563,0.000,0.114,0.000
"(1232, 20, '0')",0.192,26.719,27.651,5.107,0.037,0.176,0,1,34.923,66.000,3,1.089,0.000,0,3.418,26.305,0.000,0.185,0.146
"(563, 20, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,34.923,66.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(1232, 1231, '0')",0.192,26.719,27.651,5.107,0.037,0.176,0,1,36.974,29.000,3,1.089,0.000,0,3.418,26.305,0.000,0.185,0.174
"(20, 1232, '0')",0.227,24.855,26.622,4.756,0.051,0.200,0,2,34.923,66.000,3,1.134,0.000,0,3.746,24.434,0.000,0.179,0.146
"(1228, 1232, '0')",0.227,24.855,26.622,4.756,0.051,0.200,0,2,36.974,29.000,3,1.134,0.000,0,3.746,24.434,0.000,0.179,0.220
"(1233, 1232, '0')",0.192,26.719,27.651,5.107,0.037,0.176,0,1,36.974,29.000,3,1.089,0.000,0,3.418,26.305,0.000,0.185,0.100
"(20, 1392, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,34.923,66.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
"(564, 31, '0')",0.000,99999.000,99999.000,0.000,0.000,0.000,0,0,36.974,29.000,0,0.000,0.000,0,0.000,99999.000,0.000,0.000,0.000
