link_key,speed_hist_avg,inrix_id,tt_sd,bus_stops,speed_ref_sd,intersections,median_age,speed_avg,tt_avg,road_closures,tt_sd_adj,tt_var,speed_sd,incidents,tt_cv,speed_ref_avg,median_inc,pems_ids,speed_hist_sd,speed_max,speed_cv
"(670, 27, '0')",14.447,1626645082.000,0.184,0,0.000,0,39.300,13.152,0.756,0.000,0,0.034,2.802,0,0.244,21.127,24.432,[],0.281,16.777,0.213
"(26, 37, '0')",17.709,429471483.000,0.127,1,0.000,3,29.600,14.084,0.536,0.000,0,0.016,3.636,0,0.237,21.748,45.663,[],1.463,22.369,0.258
"(225, 37, '0')",16.829,1626690284.000,0.389,0,0.000,1,46.800,16.466,0.999,0.000,0,0.151,4.202,0,0.389,21.748,15.738,[],0.771,22.369,0.255
"(503, 37, '0')",25.942,1626763468.000,0.088,0,0.000,1,33.600,23.871,0.321,0.000,0,0.008,5.765,0,0.273,31.069,41.694,[],3.776,32.933,0.242
"(514, 517, '0')",0.000,,0.000,0,0.000,0,26.700,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,30.907,[],0.000,0.000,0.000
"(27, 447, '0')",14.447,400073693.000,0.016,0,0.000,5,29.900,13.463,0.029,0.000,0,0.000,4.283,0,0.536,21.127,39.750,[],0.281,21.127,0.318
"(27, 670, '0')",18.227,1626738113.000,0.280,0,0.000,0,39.300,15.431,0.693,0.000,0,0.078,4.534,0,0.404,19.884,24.432,[],1.252,22.369,0.294
"(29, 670, '0')",14.447,1626645082.000,0.184,0,0.000,1,39.300,13.152,0.756,0.000,0,0.034,2.802,1,0.244,21.127,24.432,[],0.281,16.777,0.213
"(27, 452, '0')",26.615,1626707326.000,0.192,0,0.000,1,24.500,19.004,0.932,0.000,0,0.037,3.335,0,0.206,42.875,17.434,"[601213, 602213]",2.553,22.369,0.176
"(534, 537, '0')",0.000,,0.000,0,0.000,1,33.100,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,45.536,[],0.000,0.000,0.000
"(513, 510, '0')",0.000,,0.000,0,0.000,0,33.100,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,45.536,[],0.000,0.000,0.000
"(11, 1048, '0')",0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
"(451, 1048, '0')",26.408,449891975.000,0.076,0,0.000,0,21.300,32.104,0.927,0.000,0,0.006,2.532,0,0.082,29.204,23.867,[],0.325,37.282,0.079
"(29, 1041, '0')",0.000,,0.000,0,0.000,0,45.200,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,16.994,[],0.000,0.000,0.000
"(29, 1045, '0')",25.166,1626659782.000,0.358,0,0.000,0,21.300,24.958,1.272,0.000,0,0.128,5.588,0,0.281,27.962,23.867,[],1.076,33.554,0.224
"(29, 451, '0')",26.408,449891975.000,0.076,0,0.000,1,21.300,32.104,0.927,0.000,0,0.006,2.532,0,0.082,29.204,23.867,[],0.325,37.282,0.079
"(1048, 451, '0')",23.612,449891993.000,0.314,0,0.000,0,21.300,23.819,1.297,0.000,0,0.099,4.973,0,0.242,28.583,23.867,[],1.633,32.933,0.209
"(529, 532, '0')",0.000,,0.000,0,0.000,0,26.700,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,30.907,[],0.000,0.000,0.000
"(519, 522, '0')",0.000,,0.000,0,0.000,0,33.100,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,45.536,[],0.000,0.000,0.000
"(498, 501, '0')",13.877,1626664336.000,0.101,0,0.000,1,33.600,16.622,0.581,0.000,0,0.010,2.987,0,0.175,21.748,41.694,"[601414, 602414]",2.125,22.369,0.180
"(348, 350, '0')",43.755,1626717233.000,0.053,0,0.000,1,29.300,44.169,0.337,0.000,0,0.003,7.146,0,0.158,47.846,20.750,[],2.506,57.788,0.162
"(110, 131, '0')",17.450,429471501.000,0.058,0,0.000,1,46.000,20.298,0.317,0.000,0,0.003,3.815,1,0.184,29.204,24.821,[],1.256,27.962,0.188
"(287, 131, '0')",62.551,1626686788.000,0.010,0,0.000,0,46.000,68.817,0.190,0.000,0,0.000,1.592,3,0.055,65.865,24.821,[],0.552,70.836,0.023
"(110, 106, '0')",21.852,429471499.000,0.017,0,0.000,3,46.000,18.020,0.122,0.000,0,0.000,2.636,0,0.144,32.933,24.821,[],0.742,24.233,0.146
"(32, 106, '0')",33.554,1626650773.000,0.092,0,0.000,1,46.000,28.738,0.334,0.000,0,0.008,5.634,0,0.275,37.282,24.821,[],0.955,32.933,0.196
"(107, 106, '0')",0.000,171130911.000,0.000,0,0.000,1,46.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,24.821,[],0.000,0.000,0.000
"(471, 473, '0')",0.000,,0.000,0,0.000,2,25.600,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,42.628,"[601413, 602413]",0.000,0.000,0.000
