link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix
"(712, 728, '0')",0,,1800.000,0.206,40,1626631223,[],LWRLK,38,180.000,2,40,0.137,0.150,4.000,0.206,1800.000,1626631223.000,39.970,41.010,39.390,0.326,41.010,1.514,0.038,1.078,0.000,0.014,0.000,0.038,0.000,66.653,34.400,0,0,0,0.200
"(712, 706, '0')",0,,1800.000,0.118,40,400072808,[],LWRLK,1646,200.000,5,40,0.078,0.150,4.000,0.118,1800.000,400072808.000,13.380,31.069,28.779,0.506,46.603,5.438,0.189,2.215,0.000,0.167,0.028,0.189,0.000,66.653,34.400,0,0,1,0.101
"(703, 706, '0')",0,,1800.000,0.183,45,441679177,[],LWRLK,1619,200.000,5,45,0.137,0.150,4.000,0.183,1800.000,441679177.000,23.639,29.421,21.701,0.615,37.282,3.921,0.181,0.918,0.773,0.099,0.010,0.181,0.000,66.653,34.400,0,0,1,0.220
"(715, 706, '0')",0,,1800.000,0.134,40,449897473,[],LWRLK,1649,200.000,5,40,0.089,0.150,4.000,0.134,1800.000,449897473.000,19.492,26.233,24.591,0.980,39.146,5.764,0.234,1.240,0.258,0.329,0.108,0.234,0.000,66.653,34.400,0,0,1,0.136
"(717, 706, '0')",0,,1800.000,0.163,50,441450989,[],LWRLK,1653,200.000,6,50,0.136,0.150,4.000,0.163,1800.000,441450989.000,31.001,35.634,25.112,0.857,39.146,4.190,0.167,3.191,0.773,0.144,0.021,0.167,0.000,66.653,34.400,0,0,1,0.208
"(729, 712, '0')",0,,1800.000,0.206,40,400072808,[],LWRLK,41,180.000,2,40,0.137,0.150,4.000,0.206,1800.000,400072808.000,13.380,31.069,28.779,0.506,46.603,5.438,0.189,2.215,0.000,0.167,0.028,0.189,0.000,66.653,34.400,0,0,0,0.176
"(706, 712, '0')",0,,1800.000,0.118,40,400072807,[],LWRLK,1625,200.000,2,40,0.078,0.150,4.000,0.118,1800.000,400072807.000,19.688,26.233,24.591,0.187,38.525,6.743,0.274,1.240,0.258,0.077,0.006,0.274,0.000,66.653,34.400,0,0,1,0.122
"(70, 147, '0')",1,1926.500,1800.000,0.200,50,,"[601217, 601219]",LWRLK,43,180.000,1,50,0.167,0.150,4.000,0.200,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,93.828,31.100,0,0,0,0.200
"(18, 1303, '0')",0,,1800.000,0.068,40,429471495,[],LWRLK,44,200.000,3,40,0.045,0.150,4.000,0.068,1800.000,429471495.000,17.074,30.798,23.632,0.177,27.340,3.838,0.162,1.395,0.515,0.037,0.001,0.162,0.000,45.536,33.100,0,0,1,0.099
"(34, 1303, '0')",0,,1800.000,0.068,40,429471496,[],LWRLK,90,200.000,3,40,0.045,0.150,4.000,0.068,1800.000,429471496.000,17.675,26.314,18.229,0.226,28.583,4.609,0.253,1.917,0.773,0.084,0.007,0.253,0.000,30.907,26.700,1,0,2,0.094
"(18, 5, '0')",0,,1800.000,0.053,40,1626648707,[],LWRLK,45,200.000,3,40,0.036,0.150,4.000,0.053,1800.000,1626648707.000,16.831,25.422,18.371,0.389,24.855,3.737,0.203,1.694,1.289,0.094,0.009,0.203,0.000,45.536,33.100,8,0,7,0.086
"(150, 32, '0')",0,,1800.000,0.305,50,1626644298,[],LWRLK,46,180.000,1,50,0.254,0.150,4.000,0.305,1800.000,1626644298.000,20.938,26.611,28.171,0.800,55.302,8.687,0.308,13.148,3.350,0.331,0.110,0.308,0.000,24.821,46.000,3,0,0,0.276
